z(m),ne (1/m^3),Te (eV),f_en (1/s),f_ei (1/s),f_iz (1/s),jez (A/m^2),,,,,,,,,,
7.40E-04,1.47E+18,4.05E+00,1.44E+07,9.07E+06,1.33E+05,1.85E+03,,,,,,,,,,
1.74E-03,1.57E+18,4.11E+00,3.08E+07,1.97E+07,2.86E+05,1.86E+03,,,,,,,,,,
2.74E-03,1.63E+18,4.19E+00,3.14E+07,2.13E+07,2.93E+05,1.89E+03,,,,,,,,,,
3.74E-03,1.64E+18,4.33E+00,2.95E+07,2.10E+07,2.76E+05,1.94E+03,,,,,,,,,,
4.74E-03,1.63E+18,4.49E+00,2.77E+07,2.04E+07,2.59E+05,1.99E+03,,,,,,,,,,
5.74E-03,1.63E+18,4.75E+00,2.58E+07,1.94E+07,2.95E+05,2.02E+03,,,,,,,,,,
6.74E-03,1.60E+18,5.16E+00,2.40E+07,1.78E+07,3.67E+05,2.03E+03,,,,,,,,,,
7.74E-03,1.56E+18,5.61E+00,2.21E+07,1.61E+07,4.50E+05,2.02E+03,,,,,,,,,,
8.74E-03,1.50E+18,6.32E+00,1.98E+07,1.35E+07,5.12E+05,1.99E+03,,,,,,,,,,
9.74E-03,1.44E+18,7.16E+00,1.73E+07,1.05E+07,5.68E+05,1.96E+03,,,,,,,,,,
1.07E-02,1.35E+18,8.26E+00,1.47E+07,7.05E+06,6.20E+05,1.90E+03,,,,,,,,,,
1.17E-02,1.24E+18,9.59E+00,1.20E+07,4.07E+06,6.75E+05,1.83E+03,,,,,,,,,,
1.27E-02,1.14E+18,1.11E+01,9.55E+06,2.24E+06,7.13E+05,1.76E+03,,,,,,,,,,
1.37E-02,1.04E+18,1.27E+01,7.55E+06,1.38E+06,6.90E+05,1.67E+03,,,,,,,,,,
1.47E-02,9.46E+17,1.42E+01,5.84E+06,8.56E+05,6.44E+05,1.58E+03,,,,,,,,,,
1.57E-02,8.65E+17,1.55E+01,4.62E+06,6.35E+05,5.92E+05,1.50E+03,,,,,,,,,,
1.67E-02,7.97E+17,1.64E+01,3.77E+06,5.35E+05,5.19E+05,1.38E+03,,,,,,,,,,
1.77E-02,7.39E+17,1.68E+01,3.15E+06,4.82E+05,4.45E+05,1.32E+03,,,,,,,,,,
1.87E-02,6.98E+17,1.70E+01,2.61E+06,4.52E+05,4.00E+05,1.25E+03,,,,,,,,,,
1.97E-02,6.72E+17,1.71E+01,2.26E+06,4.36E+05,3.57E+05,1.17E+03,,,,,,,,,,
2.07E-02,6.49E+17,1.73E+01,1.98E+06,4.18E+05,3.16E+05,1.12E+03,,,,,,,,,,
2.17E-02,6.13E+17,1.79E+01,1.68E+06,3.88E+05,2.80E+05,1.08E+03,,,,,,,,,,
2.27E-02,5.87E+17,1.88E+01,1.47E+06,3.62E+05,2.57E+05,1.05E+03,,,,,,,,,,
2.37E-02,5.63E+17,1.99E+01,1.26E+06,3.40E+05,2.34E+05,1.02E+03,,,,,,,,,,
2.47E-02,5.50E+17,2.13E+01,1.06E+06,3.19E+05,2.20E+05,1.11E+03,,,,,,,,,,
2.57E-02,5.45E+17,2.23E+01,9.17E+05,3.11E+05,2.01E+05,1.22E+03,,,,,,,,,,
2.67E-02,5.43E+17,2.23E+01,8.55E+05,3.20E+05,1.65E+05,1.20E+03,,,,,,,,,,
2.77E-02,5.39E+17,2.21E+01,7.61E+05,3.29E+05,1.45E+05,1.15E+03,,,,,,,,,,
2.87E-02,5.31E+17,2.17E+01,6.72E+05,3.37E+05,1.28E+05,1.11E+03,,,,,,,,,,
2.97E-02,5.18E+17,2.13E+01,5.97E+05,3.43E+05,1.15E+05,1.09E+03,,,,,,,,,,
3.07E-02,5.04E+17,2.09E+01,5.39E+05,3.48E+05,1.03E+05,1.08E+03,,,,,,,,,,
3.17E-02,4.88E+17,2.05E+01,4.93E+05,3.53E+05,9.29E+04,1.06E+03,,,,,,,,,,
3.27E-02,4.71E+17,2.01E+01,4.57E+05,3.59E+05,8.49E+04,1.02E+03,,,,,,,,,,
3.37E-02,4.55E+17,1.96E+01,4.24E+05,3.64E+05,7.79E+04,9.78E+02,,,,,,,,,,
3.47E-02,4.40E+17,1.91E+01,4.02E+05,3.72E+05,7.22E+04,9.38E+02,,,,,,,,,,
3.57E-02,4.25E+17,1.85E+01,3.81E+05,3.80E+05,6.66E+04,8.98E+02,,,,,,,,,,
3.67E-02,4.10E+17,1.79E+01,3.69E+05,3.89E+05,6.18E+04,8.65E+02,,,,,,,,,,
3.77E-02,3.95E+17,1.74E+01,3.59E+05,3.99E+05,5.75E+04,8.32E+02,,,,,,,,,,
3.87E-02,3.81E+17,1.68E+01,3.52E+05,4.10E+05,5.43E+04,8.02E+02,,,,,,,,,,
3.97E-02,3.67E+17,1.62E+01,3.47E+05,4.20E+05,5.14E+04,7.72E+02,,,,,,,,,,
4.07E-02,3.54E+17,1.56E+01,3.45E+05,4.32E+05,4.87E+04,7.43E+02,,,,,,,,,,
4.17E-02,3.41E+17,1.50E+01,3.45E+05,4.46E+05,4.60E+04,7.18E+02,,,,,,,,,,
4.27E-02,3.29E+17,1.43E+01,3.45E+05,4.61E+05,4.33E+04,6.92E+02,,,,,,,,,,
4.37E-02,3.17E+17,1.36E+01,3.47E+05,4.78E+05,4.07E+04,6.69E+02,,,,,,,,,,
4.47E-02,3.06E+17,1.30E+01,3.49E+05,4.96E+05,3.81E+04,6.47E+02,,,,,,,,,,
4.57E-02,2.96E+17,1.23E+01,3.51E+05,5.19E+05,3.58E+04,6.27E+02,,,,,,,,,,
4.67E-02,2.87E+17,1.16E+01,3.53E+05,5.42E+05,3.35E+04,6.08E+02,,,,,,,,,,
4.77E-02,2.77E+17,1.09E+01,3.59E+05,5.67E+05,3.02E+04,5.84E+02,,,,,,,,,,
4.87E-02,2.67E+17,1.02E+01,3.65E+05,5.97E+05,2.70E+04,5.64E+02,,,,,,,,,,
4.97E-02,2.59E+17,9.46E+00,3.70E+05,6.31E+05,2.36E+04,5.47E+02,,,,,,,,,,
5.07E-02,2.52E+17,8.73E+00,3.72E+05,6.76E+05,2.05E+04,5.32E+02,,,,,,,,,,
5.17E-02,2.45E+17,8.01E+00,3.72E+05,7.24E+05,1.74E+04,5.19E+02,,,,,,,,,,
5.27E-02,2.39E+17,7.26E+00,3.68E+05,7.93E+05,1.45E+04,4.84E+02,,,,,,,,,,
5.37E-02,2.32E+17,6.49E+00,3.62E+05,8.69E+05,1.16E+04,4.32E+02,,,,,,,,,,
5.47E-02,2.26E+17,5.77E+00,3.54E+05,9.51E+05,8.98E+03,3.68E+02,,,,,,,,,,
5.57E-02,2.21E+17,5.16E+00,3.42E+05,1.05E+06,7.04E+03,2.69E+02,,,,,,,,,,
5.67E-02,2.16E+17,4.64E+00,3.31E+05,1.13E+06,5.30E+03,1.73E+02,,,,,,,,,,
5.77E-02,2.11E+17,4.30E+00,3.21E+05,1.20E+06,4.03E+03,7.76E+01,,,,,,,,,,
5.87E-02,2.05E+17,4.00E+00,3.12E+05,1.27E+06,2.87E+03,-9.38E+00,,,,,,,,,,
5.97E-02,2.01E+17,3.84E+00,3.09E+05,1.30E+06,2.37E+03,-6.39E+01,,,,,,,,,,
6.07E-02,1.97E+17,3.69E+00,3.04E+05,1.34E+06,1.87E+03,-1.17E+02,,,,,,,,,,
6.17E-02,1.94E+17,3.58E+00,3.02E+05,1.38E+06,1.53E+03,-1.57E+02,,,,,,,,,,
6.27E-02,1.91E+17,3.51E+00,3.04E+05,1.39E+06,1.46E+03,-1.78E+02,,,,,,,,,,
6.37E-02,1.87E+17,3.44E+00,3.05E+05,1.41E+06,1.39E+03,-1.98E+02,,,,,,,,,,
6.47E-02,1.83E+17,3.37E+00,3.07E+05,1.42E+06,1.32E+03,-2.17E+02,,,,,,,,,,
6.57E-02,1.80E+17,3.29E+00,3.04E+05,1.45E+06,1.23E+03,-2.23E+02,,,,,,,,,,
6.67E-02,1.76E+17,3.20E+00,3.00E+05,1.48E+06,1.13E+03,-2.28E+02,,,,,,,,,,
6.77E-02,1.73E+17,3.12E+00,2.95E+05,1.50E+06,1.02E+03,-2.32E+02,,,,,,,,,,
6.87E-02,1.69E+17,3.03E+00,2.91E+05,1.53E+06,9.17E+02,-2.37E+02,,,,,,,,,,
6.97E-02,1.66E+17,2.95E+00,2.85E+05,1.55E+06,8.10E+02,-2.42E+02,,,,,,,,,,
7.07E-02,1.63E+17,2.88E+00,2.80E+05,1.57E+06,7.12E+02,-2.53E+02,,,,,,,,,,
7.17E-02,1.59E+17,2.82E+00,2.77E+05,1.58E+06,6.30E+02,-2.74E+02,,,,,,,,,,
7.27E-02,1.56E+17,2.76E+00,2.73E+05,1.58E+06,5.46E+02,-2.96E+02,,,,,,,,,,
7.37E-02,1.52E+17,2.70E+00,2.69E+05,1.59E+06,4.59E+02,-3.18E+02,,,,,,,,,,
7.47E-02,1.49E+17,2.64E+00,2.63E+05,1.60E+06,3.70E+02,-3.42E+02,,,,,,,,,,
7.57E-02,1.47E+17,2.59E+00,2.57E+05,1.61E+06,2.79E+02,-3.66E+02,,,,,,,,,,
7.67E-02,1.44E+17,2.53E+00,2.50E+05,1.62E+06,1.86E+02,-3.90E+02,,,,,,,,,,
7.77E-02,1.42E+17,2.51E+00,1.99E+05,1.29E+06,1.27E+02,-4.10E+02,,,,,,,,,,
7.87E-02,1.41E+17,2.51E+00,1.20E+05,7.67E+05,7.59E+01,-4.27E+02,,,,,,,,,,
