z_bfield (m),Br (T)
0.000238806,0.000676966
0.000955224,0.000705056
0.002746269,0.001014045
0.004537313,0.001519663
0.006208955,0.00213764
0.007641791,0.002867978
0.008716418,0.003626404
0.009791045,0.004412921
0.010985075,0.005480337
0.011820896,0.006266854
0.012298507,0.006912921
0.013134328,0.007839888
0.013850746,0.008738764
0.014328358,0.009581461
0.015044776,0.010255618
0.015402985,0.011070225
0.016,0.011800562
0.016895522,0.013120787
0.017910448,0.01472191
0.019104478,0.016266854
0.02041791,0.017867978
0.021850746,0.019272472
0.023044776,0.020058989
0.023701493,0.020452247
0.024716418,0.020733146
0.025432836,0.020817416
0.026507463,0.020817416
0.027462687,0.020564607
0.028656716,0.020171348
0.030447761,0.019188202
0.032477612,0.017980337
0.034029851,0.016884831
0.035164179,0.016042135
0.036179104,0.015339888
0.037731343,0.014384831
0.03880597,0.013654494
0.040238806,0.012867978
0.041671642,0.012025281
0.042985075,0.011294944
0.045134328,0.010283708
0.046925373,0.009497191
0.048835821,0.008738764
0.050626866,0.008120787
0.052656716,0.007474719
0.054567164,0.006912921
0.057074627,0.006266854
0.058985075,0.005817416
0.061373134,0.005311798
0.064358209,0.00469382
0.066985075,0.004300562
0.069850746,0.003879213
0.072716418,0.003514045
0.075820896,0.003148876
0.079761194,0.002783708
0.084298507,0.002390449
0.088119403,0.002109551
0.091701493,0.001912921
0.095044776,0.001744382
